keyword,count,avgPlayers
anime,8,18231
simulator,6,62145
tower,4,15879
defense,4,15879
brainrot,3,160678
racing,3,10765
rivals,3,103516
event,3,8632
jujutsu,3,45353
champions,2,4896
life,2,6426
duels,2,20861
blue,2,16989
dragon,2,9844
soul,2,5727
boss,2,2319
christmas,2,36559
battlegrounds,2,82690
stand,2,4200
brainrots,2,34510
nights,2,436836
untitled,2,6544
winter,2,14672
ball,2,24504
blade,2,16951
tycoon,2,8738
weekend,2,19018
survive,2,14797
rng,2,28207
evolution,1,26511
midnight,1,8400
chasers,1,8400
highway,1,8400
find,1,50336
323,1,50336
rebirth,1,8100
horse,1,4908
murderers,1,26309
sheriffs,1,26309
border,1,1817
line,1,1817
scp,1,4695
roleplay,1,4695
shopkeeper,1,18807
slap,1,18807
battles,1,18807
arcane,1,1603
lineage,1,1603
doors,1,21576
daily,1,21576
runs,1,21576
blind,1,33797
shot,1,33797
eternal,1,18798
chop,1,32824
your,1,32824
tree,1,32824
bubble,1,10263
gum,1,10263
infinity,1,10263
racket,1,9430
emergency,1,37519
hamburg,1,37519
lock,1,28295
zamasu,1,5160
mmo,1,5160
december,1,3271
holidays,1,3271
phantom,1,3271
forces,1,3271
fight,1,3591
combat,1,3591
warriors,1,3591
winterfest,1,22520
driving,1,22520
empire,1,22520
car,1,22520
build,1,27842
boat,1,27842
treasure,1,27842
something,1,7886
evil,1,7886
will,1,7886
happen,1,7886
heroes,1,19050
tank,1,9282
final,1,3527
remastered,1,3527
fishing,1,21833
plants,1,47187
five,1,6293
trading,1,6293
royale,1,16419
high,1,16419
mermaid,1,16419
potions,1,16419
nfl,1,15643
universe,1,15643
football,1,15643
evade,1,50225
supernova,1,12005
boxing,1,12005
ace,1,14581
eater,1,14581
azure,1,14581
latch,1,14581
jailbreak,1,21282
baddies,1,12642
death,1,20750
warrior,1,7624
cats,1,7624
edition,1,7624
xmas25,1,2693
zero,1,13665
attack,1,16037
titan,1,16037
revolution,1,16037
pixel,1,5643
divinity,1,5643
dungeon,1,12191
hunters,1,12191
aba,1,8646
crusaders,1,21698
war,1,11793
asylum,1,7944
bedwars,1,36953
2xp,1,36953
jump,1,8061
showdown,1,8061
adventures,1,14527
creatures,1,23327
sonaria,1,23327
kaiju,1,23327
animals,1,23327
matchmaking,1,15413
sniper,1,15413
card,1,9527
clash,1,9527
dandy,1,127148
ink,1,30146
tap,1,28381
fighting,1,53622
endless,1,53622
pet,1,40184
hypershot,1,47634
infinite,1,32415
welcome,1,28586
bloxburg,1,28586
vanguards,1,30193
sol,1,54067
brookhaven,1,1025661
year,1,112822
dress,1,112822
impress,1,112822
universal,1,23033
fish,1,988062
pagani,1,13316
200k,1,13316
cash,1,13316
greenville,1,13316
grow,1,82371
garden,1,82371
forsaken,1,130788
shenanigans,1,89980
strongest,1,146330
fisch,1,82226
volleyball,1,105537
legends,1,105537
forest,1,867379
years,1,33607
adopt,1,284183
bee,1,206811
swarm,1,206811
forge,1,243454
xmas,1,243454
steal,1,405186
blox,1,478539
fruits,1,478539
kat,1,476
sale,1,2008
one,1,2008
fruit,1,2008
mount,1,2347
qol,1,4872
last,1,4872
parkour,1,1691
skibidi,1,4181
celestial,1,1980
bikini,1,6267
bottom,1,6267
red,1,5683
rpg,1,1083
drop,1,1083
infection,1,598
gunfight,1,598
heat,1,1047
mode,1,1047
ohma,1,1047
fistborn,1,1047
fling,1,41202
things,1,41202
people,1,41202
case,1,6311
paradise,1,6311
uma,1,1374
